Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1405310,"AZ","HB2011","Parental consent; student groups; sexuality","House read second time","1/12/2022","1","John Kavanagh (R)*","5","1","64",""
https://www.billtrack50.com/billdetail/1414854,"AZ","HB2112","Classroom instruction; race; ethnicity; sex","Senate FIN Committee action: do pass amended/strike-everything, voting: (7-1-2-0)","3/23/2022","8","Michelle Udall (R)*, Russell Bowers (R), Frank Carroll (R), Regina Cobb (R), Travis Grantham (R), Jake Hoffman (R), Quang Nguyen (R), Ben Toma (R)","23","2","39",""
https://www.billtrack50.com/billdetail/1416211,"AZ","HB2161","Parental rights; schools; educational records","Chapter 200","4/29/2022","1","Steve Kaiser (R)*","40","4","132",""
https://www.billtrack50.com/billdetail/1424110,"AZ","HB2281","Medical freedom; parental rights","House read second time","1/20/2022","4","John Fillmore (R)*, Frank Carroll (R), Neal Carter (R), Joseph Chaplik (R)","5","1","69",""
https://www.billtrack50.com/billdetail/1423444,"AZ","HB2285","Sex education; child abuse prevention","House read second time","1/20/2022","1","John Fillmore (R)*","5","1","87",""
https://www.billtrack50.com/billdetail/1423457,"AZ","HB2292","Birth certificates; gender","House read second time","1/19/2022","5","John Fillmore (R)*, Frank Carroll (R), Neal Carter (R), Joseph Chaplik (R), Jacqueline Parker (R)","4","1","27",""
https://www.billtrack50.com/billdetail/1423627,"AZ","HB2293","School employees; students; gender pronouns","House read second time","1/19/2022","4","John Fillmore (R)*, Neal Carter (R), Joseph Chaplik (R), Jacqueline Parker (R)","4","1","25",""
https://www.billtrack50.com/billdetail/1423506,"AZ","HB2294","State documents; sex identification","House third reading FAILED voting: (30-29-1-0)","2/17/2022","4","John Fillmore (R)*, Neal Carter (R), Joseph Chaplik (R), Jacqueline Parker (R)","13","2","15",""
https://www.billtrack50.com/billdetail/1424089,"AZ","HB2314","Public schools; restrooms; reasonable accommodations","House ED Committee action: Held, voting: (0-0-0-0-0-0)","2/15/2022","8","John Kavanagh (R)*, Shawnna Bolick (R), Judy Burges (R), Lupe Diaz (R), David Livingston (R), Quang Nguyen (R), T.J. Shope (R), Michelle Udall (R)","6","1","35",""
https://www.billtrack50.com/billdetail/1423676,"AZ","HB2495","Schools; sexually explicit materials; prohibition","Chapter 380","7/6/2022","12","Jake Hoffman (R)*, Brenda Barton (R), Walter Blackman (R), Neal Carter (R), John Fillmore (R), Mark Finchem (R), Steve Kaiser (R), Teresa Martinez (R), Quang Nguyen (R), Jacqueline Parker (R), Ben Toma (R), Justin Wilmeth (R)","38","4","46",""
https://www.billtrack50.com/billdetail/1437178,"AZ","HB2608","Gender transition; prohibition","House Judiciary (08:00 2/16/2022 HHR 4)","2/16/2022","9","Judy Burges (R)*, Walter Blackman (R), Frank Carroll (R), Neal Carter (R), David Cook (R), Lupe Diaz (R), John Fillmore (R), Mark Finchem (R), David Livingston (R)","6","1","62",""
https://www.billtrack50.com/billdetail/1407838,"AZ","SB1045","Minors; gender identity; reassignment; prohibitions","Senate read second time","1/11/2022","1","Wendy Rogers (R)*","5","1","62",""
https://www.billtrack50.com/billdetail/1407850,"AZ","SB1046","Biological sex; interscholastic athletics","Assigned to Senate RULES Committee","6/24/2022","1","Wendy Rogers (R)*","3","1","44",""
https://www.billtrack50.com/billdetail/1414470,"AZ","SB1130","Child; vulnerable adult; abuse","Senate JUD Committee action: Held, voting: (0-0-0-0)","1/27/2022","1","Wendy Rogers (R)*","7","1","79",""
https://www.billtrack50.com/billdetail/1414925,"AZ","SB1138","Irreversible gender reassignment surgery; minors","Chapter 104","3/30/2022","1","Warren Petersen (R)*","33","3","75",""
https://www.billtrack50.com/billdetail/1418946,"AZ","SB1165","Interscholastic; intramural athletics; biological sex","Chapter 106","3/30/2022","24","Nancy Barto (R)*, Shawnna Bolick (R), Sonny Borrelli (R), Judy Burges (R), Frank Carroll (R), Joseph Chaplik (R), Lupe Diaz (R), John Fillmore (R), David Gowan (R), Rick Gray (R), Gail Griffin (R), Steve Kaiser (R), John Kavanagh (R), Sine Kerr (R), Vince Leach (R), David Livingston (R), Javan Mesnard (R), Quang Nguyen (R), Jacqueline Parker (R), Warren Petersen (R), T.J. Shope (R), Ben Toma (R), Kelly Townsend (R), Michelle Udall (R)","31","3","74",""
https://www.billtrack50.com/billdetail/1437241,"AZ","SB1399","Adoption; foster care; religious discrimination","Chapter 115","4/6/2022","2","Sine Kerr (R)*, Nancy Barto (R)","33","3","47",""
