Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1415380,"FL","H0007","Individual Freedom","Chapter No. 2022-72","4/22/2022","19","Bryan Avila (R)*, Melony Bell (R), J. David Borrero (R), Cord Byrd (R), Juan Fernandez-Barquin (R), Randall Fine (R), Jason Fischer (R), Erin Grall (R), Christopher Latvala (R), Randall Maggard (R), Ralph Massullo (R), Stanley McClain (R), Toby Overdorf (R), Robert Payne (R), Rick Roth (R), Jason Shoaf (R), Tyler Sirois (R), Keith Truenow (R), Clay Yarborough (R)","71","5","153",""
https://www.billtrack50.com/billdetail/1387187,"FL","H0057","Racial and Sexual Discrimination","Died in Education & Employment Committee","3/14/2022","5","Randall Fine (R)*, Jason Fischer (R)*, J. David Borrero (R), Daisy Morales (D), Spencer Roach (R)","8","1","58",""
https://www.billtrack50.com/billdetail/1389298,"FL","H0211","Youth Gender and Sexual Identity","Died in Professions & Public Health Subcommittee","3/14/2022","1","Anthony Sabatini (R)*","8","1","52",""
https://www.billtrack50.com/billdetail/1392151,"FL","H0403","Local Ordinances","Died on Second Reading Calendar","3/14/2022","2","Mike Giallombardo (R)*, Daisy Morales (D)","29","2","34",""
https://www.billtrack50.com/billdetail/1397475,"FL","H0569","Local Business Protection Act","Laid on Table, refer to CS/SB 620","3/8/2022","4","Lawrence McClure (R)*, Juan Fernandez-Barquin (R), Mike Giallombardo (R), Spencer Roach (R)","33","3","40",""
https://www.billtrack50.com/billdetail/1403065,"FL","H0747","Protections of Medical Conscience","Died in Judiciary Committee","3/14/2022","2","John Snyder (R)*, Thad Altman (R)","13","1","37",""
https://www.billtrack50.com/billdetail/1415541,"FL","H1557","Parental Rights in Education","Chapter No. 2022-22","3/29/2022","20","Erin Grall (R)*, Joseph Harding (R)*, Bryan Avila (R), Melony Bell (R), J. David Borrero (R), Cord Byrd (R), Juan Fernandez-Barquin (R), Elizabeth Fetterhoff (R), Randall Fine (R), Jason Fischer (R), Christopher Latvala (R), Randall Maggard (R), Stanley McClain (R), Scott Plakon (R), Spencer Roach (R), Rick Roth (R), Tyler Sirois (R), John Snyder (R), Keith Truenow (R), Clay Yarborough (R)","61","5","86",""
https://www.billtrack50.com/billdetail/1415400,"FL","S0148","Individual Freedom","Died in Rules","3/14/2022","2","Manny Diaz (R)*, Ray Rodrigues (R)","9","1","91",""
https://www.billtrack50.com/billdetail/1388232,"FL","S0242","Racial and Sexual Discrimination","Died in Judiciary","3/14/2022","2","Joseph Gruters (R)*, W. Perry (R)","5","1","45",""
https://www.billtrack50.com/billdetail/1388533,"FL","S0280","Local Ordinances","Died in Messages","3/14/2022","1","Travis Hutson (R)*","27","4","34",""
https://www.billtrack50.com/billdetail/1392180,"FL","S0620","Local Business Protection Act","Ordered enrolled","3/9/2022","1","Travis Hutson (R)*","38","4","52",""
https://www.billtrack50.com/billdetail/1413811,"FL","S1820","Protections of Medical Conscience","Died in Health Policy","3/14/2022","1","Dennis Baxley (R)*","5","1","28",""
https://www.billtrack50.com/billdetail/1413877,"FL","S1834","Parental Rights in Education","Died in Appropriations","3/14/2022","1","Dennis Baxley (R)*","9","1","59",""
