Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1283132,"IA","HF184","A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.","Introduced, referred to Education. H.J. 185.","1/22/2021","1","Sandy Salmon (R)*","1","1","39",""
https://www.billtrack50.com/billdetail/1283150,"IA","HF187","A bill for an act relating to unfair practices involving access to areas of public accommodations or educational institutions.","Introduced, referred to Judiciary. H.J. 186.","1/22/2021","1","Sandy Salmon (R)*","1","1","49",""
https://www.billtrack50.com/billdetail/1282900,"IA","HF193","A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties.","Introduced, referred to Human Resources. H.J. 187.","1/22/2021","1","Sandy Salmon (R)*","1","1","72",""
https://www.billtrack50.com/billdetail/1292627,"IA","HF272","A bill for an act removing gender identity as a protected class under the Iowa civil rights Act.","Introduced, referred to Judiciary. H.J. 232.","1/28/2021","4","Mark Cisneros (R)*, Dean Fisher (R)*, Sandy Salmon (R)*, Skyler Wheeler (R)*","1","1","58",""
https://www.billtrack50.com/billdetail/1298520,"IA","HF334","A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.","Introduced, referred to Education. H.J. 275.","2/2/2021","1","Jeff Shipley (R)*","1","1","39",""
https://www.billtrack50.com/billdetail/1299057,"IA","HF340","A bill for an act relating to the construction of the Iowa civil rights Act of 1965 regarding sex and gender identity.","Introduced, referred to Judiciary. H.J. 276.","2/2/2021","1","Jeff Shipley (R)*","1","1","31",""
https://www.billtrack50.com/billdetail/1299119,"IA","HF341","A bill for an act relating to the statute of limitations for recovery from injuries sustained from treatment for identity disorder.","Introduced, referred to Judiciary. H.J. 276.","2/2/2021","1","Jeff Shipley (R)*","1","1","24",""
https://www.billtrack50.com/billdetail/1304810,"IA","HF405","A bill for an act relating to unfair practices involving access to areas of public accommodations designated for persons of one biological sex.","Introduced, referred to Judiciary. H.J. 305.","2/8/2021","1","Jeff Shipley (R)*","1","1","31",""
https://www.billtrack50.com/billdetail/1451372,"IA","HF2309","A bill for an act relating to student eligibility requirements in school district and accredited nonpublic school athletics based on sex.(See HF 2416.)","Withdrawn. H.J. 320.","2/21/2022","2","Henry Stone (R)*, Skyler Wheeler (R)*","9","1","38",""
https://www.billtrack50.com/billdetail/1456747,"IA","HF2416","A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, regent institution, community college, and certain other institution of higher education athletics based on sex, and including effective date provisions. (Formerly HF 2309.) Effective date: 03/03/2022.","Fiscal note.","6/22/2022","0","","23","3","51",""
https://www.billtrack50.com/billdetail/1430242,"IA","HSB593","A bill for an act prohibiting the burdening of a person's free exercise of religion.","Subcommittee recommends passage. Vote Total: 2-1","1/27/2022","0","","7","1","11",""
https://www.billtrack50.com/billdetail/1298828,"IA","SF224","A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.","Subcommittee recommends passage.","2/10/2021","1","Jim Carlin (R)*","5","1","39",""
https://www.billtrack50.com/billdetail/1326332,"IA","SF436","A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions.","Subcommittee recommends passage.","3/2/2021","7","Jim Carlin (R)*, Dennis Guth (R)*, Craig Johnson (R)*, Ken Rozenboom (R)*, Jason Schultz (R)*, Jeff Taylor (R)*, Zach Whiting (R)*","5","1","25",""
https://www.billtrack50.com/billdetail/1424397,"IA","SF2025","A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.","Subcommittee: Sinclair, Quirmbach, and Rozenboom. S.J. 135.","1/24/2022","1","Jim Carlin (R)*","2","1","33",""
https://www.billtrack50.com/billdetail/1443889,"IA","SF2170","A bill for an act prohibiting the burdening of a person's free exercise of religion.(See SF 2284.)","Committee report approving bill, renumbered as SF 2284. S.J. 296.","2/15/2022","7","Mark Costello (R)*, Julian Garrett (R)*, Jesse Green (R)*, Craig Johnson (R)*, Jason Schultz (R)*, Jeff Taylor (R)*, Craig Williams (R)*","7","1","10",""
https://www.billtrack50.com/billdetail/1448855,"IA","SF2205","A bill for an act relating to the rights of students enrolled in school districts or charter schools and the rights of parents and guardians of those students.(Formerly SSB 3079.)","Referred to Education. S.J. 621.","3/24/2022","0","","3","1","23",""
https://www.billtrack50.com/billdetail/1456423,"IA","SF2284","A bill for an act prohibiting the burdening of a person's free exercise of religion.(Formerly SF 2170.)","Attached to similar HF 2437. S.J. 558.","3/21/2022","0","","4","1","13",""
https://www.billtrack50.com/billdetail/1458476,"IA","SF2342","A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, charter school, community college, and regent institution athletics based on sex.(Formerly SSB 3146.)","Withdrawn. S.J. 430.","3/2/2022","0","","7","1","39",""
https://www.billtrack50.com/billdetail/1457146,"IA","SSB3146","A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, charter school, community college, and regent institution athletics based on sex.(See SF 2342.)","Committee report approving bill, renumbered as SF 2342.","2/17/2022","0","","8","1","32",""
