Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1411729,"MS","HB437","The Teaching Racial and Universal Equality (TRUE) Act: enact to prohibit critical race theory from inclusion in public school curriculum.","Died In Committee","2/1/2022","8","Shane Barnett (R)*, Billy Calvert (R)*, Carolyn Crawford (R)*, Becky Currie (R)*, Vince Mangold (R)*, Donnie Scoggin (R)*, Troy Smith (R)*, Brady Williamson (R)*","2","1","61",""
https://www.billtrack50.com/billdetail/1430344,"MS","HB1099","Incarcerated offenders; prohibit from petitioning to change name and/or gender.","Died On Calendar","3/9/2022","5","Jill Ford (R)*, Kevin Ford (R)*, Dale Goodin (R)*, Jeff Hale (R)*, Bill Pigott (R)*","9","3","27",""
https://www.billtrack50.com/billdetail/1440013,"MS","HB1491",""Dignity and nondiscrimination in Public Education Act of 2022"; create.","Died In Committee","2/1/2022","1","Brady Williamson (R)*","2","1","37",""
https://www.billtrack50.com/billdetail/1439997,"MS","HB1492","The Teaching Racial and Universal Equality (TRUE) Act; enact to prohibit critical race theory from inclusion in public school curriculum.","Died In Committee","2/1/2022","1","Billy Calvert (R)*","2","1","54",""
https://www.billtrack50.com/billdetail/1440155,"MS","HB1493","The Teaching Racial and Universal Equality (TRUE) Act; enact to prohibit critical race theory from inclusion in public school curriculum.","Died In Committee","2/1/2022","1","Joey Hood (R)*","2","1","53",""
https://www.billtrack50.com/billdetail/1426874,"MS","HC22","Promotion of race and sex stereotyping or scapegoating; oppose and condemn use of divisive concepts and theories that propagate such.","Died In Committee","4/5/2022","1","Chris Brown (R)*","2","1","19",""
https://www.billtrack50.com/billdetail/1427235,"MS","HR10","Promotion of race and sex stereotyping or scapegoating; oppose and condemn use of divisive concepts and theories that propagate such.","Died In Committee","4/5/2022","1","Chris Brown (R)*","2","1","19",""
https://www.billtrack50.com/billdetail/1418973,"MS","SB2111","Transgender 21 Act; enact.","Died In Committee","2/1/2022","1","Angela Burks Hill (R)*","2","1","70",""
https://www.billtrack50.com/billdetail/1419312,"MS","SB2113","Critical Race Theory; prohibit.","Approved by Governor","3/14/2022","24","Kevin Blackwell (R)*, Jenifer Branning (R)*, Chris Caughman (R)*, Lydia Chassaniol (R)*, Kathy Chism (R)*, Jeremy England (R)*, Joey Fillingane (R)*, Dean Kirby (R)*, Tyler McCaughn (R)*, Chris McDaniel (R)*, Michael McLendon (R)*, Chad McMahan (R)*, Walter Michel (R)*, Philip Moran (R)*, Rita Potts Parks (R)*, Joseph Seymour (R)*, Melanie Sojourner (R)*, Daniel Sparks (R)*, Benjamin Suber (R)*, Jeff Tate (R)*, Neil Whaley (R)*, Brice Wiggins (R)*, Bart Williams (R)*, Charles Younger (R)*","32","4","39",""
https://www.billtrack50.com/billdetail/1423887,"MS","SB2171",""Critical race theory"; prohibit teaching of and expenditure of public funds for.","Died In Committee","2/1/2022","1","Chris McDaniel (R)*","2","1","37",""
https://www.billtrack50.com/billdetail/1425472,"MS","SB2356","The Real You Act of 2022; enact.","Died On Calendar","2/10/2022","1","Chad McMahan (R)*","3","2","21",""
https://www.billtrack50.com/billdetail/1427846,"MS","SB2679",""Transparency in Education Act"; prohibit certain curriculum in public schools without parental consent.","Died In Committee","2/1/2022","1","Angela Burks Hill (R)*","2","1","72",""
https://www.billtrack50.com/billdetail/1427875,"MS","SB2728","Mississippi Save Adolescents from Experimentation Act; create.","Died In Committee","2/1/2022","1","Charles Younger (R)*","2","1","41",""
