Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1403755,"MO","HB1474","Establishes requirements for public schools regarding parents and curricula","HCS Reported Do Pass (H) - AYES: 12 NOES: 8 PRESENT: 0","2/16/2022","1","Nick Schroer (R)*","13","1","55",""
https://www.billtrack50.com/billdetail/1403386,"MO","HB1484","Prohibits discrimination in education","Referred: Rules - Legislative Oversight(H)","3/8/2022","1","Ann Kelley (R)*","11","1","23",""
https://www.billtrack50.com/billdetail/1403761,"MO","HB1634","Prohibits the use of any curriculum implementing critical race theory in the public schools and institutions of higher education of the state.","Referred: Elementary and Secondary Education(H)","1/6/2022","1","Brian Seitz (R)*","4","1","61",""
https://www.billtrack50.com/billdetail/1403463,"MO","HB1669","Prohibits discrimination in education","Referred: Rules - Legislative Oversight(H)","2/28/2022","1","Brian Seitz (R)*","11","2","33",""
https://www.billtrack50.com/billdetail/1404815,"MO","HB1815","Prohibits public schools from using any curriculum implementing critical race theory","Referred: Elementary and Secondary Education(H)","1/6/2022","1","Nick Schroer (R)*","4","1","30",""
https://www.billtrack50.com/billdetail/1406866,"MO","HB1995","Provides for protections for parental rights and transparency in public schools","Referred: Rules - Legislative Oversight(H)","2/16/2022","1","Doug Richey (R)*","14","2","44",""
https://www.billtrack50.com/billdetail/1407926,"MO","HB2086","Prohibits changing sex on birth certificates","Referred: Children and Families(H)","5/13/2022","1","Bennie Cook (R)*","4","1","16",""
https://www.billtrack50.com/billdetail/1411058,"MO","HB2197","Establishes guidelines for student participation in athletic contests organized by sex","HCS Reported Do Pass (H) - AYES: 8 NOES: 4 PRESENT: 0","4/13/2022","1","Bennie Cook (R)*","10","1","44",""
https://www.billtrack50.com/billdetail/1426009,"MO","HB2461","Establishes guidelines for public school student participation in athletic contests organized by sex","HCS Reported Do Pass (H) - AYES: 8 NOES: 4 PRESENT: 0","4/13/2022","1","Jamie Burger (R)*","10","1","32",""
https://www.billtrack50.com/billdetail/1450204,"MO","HB2649","Creates provisions relating to gender transition procedures","Referred: Rules - Legislative Oversight(H)","4/27/2022","1","Suzie Pollock (R)*","10","1","42",""
https://www.billtrack50.com/billdetail/1460652,"MO","HB2734","Establishes guidelines for student participation in athletic contests organized by sex","Referred: Rules - Legislative Oversight(H)","4/13/2022","1","Charles Basye (R)*","11","2","28",""
https://www.billtrack50.com/billdetail/1460606,"MO","HB2735","Establishes guidelines for public school student participation in athletic contests organized by sex","Referred: General Laws(H)","5/13/2022","1","Charles Basye (R)*","3","1","31",""
https://www.billtrack50.com/billdetail/1404147,"MO","SB694","Creates provisions related to public school curriculum and instruction","Formal Calendar S Bills for Perfection","5/11/2022","1","Rick Brattin (R)*","8","1","44",""
https://www.billtrack50.com/billdetail/1404025,"MO","SB740","Modifies and creates provisions regarding elementary and secondary education","Hearing Scheduled But Not Heard S Education Committee","3/29/2022","1","Bill Eigel (R)*","5","1","96",""
https://www.billtrack50.com/billdetail/1404115,"MO","SB781","Establishes the "Save Women's Sports Act" relating to female-only athletics in middle school, high schools, and colleges","Informal Calendar S Bills for Perfection","5/11/2022","1","Michael Moon (R)*","11","3","38",""
https://www.billtrack50.com/billdetail/1404032,"MO","SB843","Modifies provisions relating to gender reassignment treatment for children","Formal Calendar S Bills for Perfection","5/11/2022","1","Michael Moon (R)*","8","3","44",""
https://www.billtrack50.com/billdetail/1443647,"MO","SB1117","Establishes procedures for entering into and dissolving covenant marriages","Second Read and Referred S Judiciary and Civil and Criminal Jurisprudence Committee","3/7/2022","1","Michael Moon (R)*","2","1","18",""
