Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1299924,"TN","HB0474","AN ACT to amend Tennessee Code Annotated, Title 39, relative to sexual offenses.","Returned to the Clerk's Desk.","4/26/2022","4","Mark White (R)*, Clay Doggett (R), Andrew Farmer (R), Bruce Griffey (R)","29","1","16",""
https://www.billtrack50.com/billdetail/1304071,"TN","HB0578","AN ACT to amend Tennessee Code Annotated, Title 8; Title 36; Title 37; Title 39; Title 49; Title 53; Title 56; Title 63; Title 68 and Title 71, relative to courses of treatment for children.","Def. to Special Calendar to be Published with Final Calendar in Health Committee","2/9/2022","7","John Ragan (R)*, Scott Cepicky (R), Bruce Griffey (R), Rusty Grills (R), Jerry Sexton (R), Paul Sherrell (R), Terri Weaver (R)","30","1","64",""
https://www.billtrack50.com/billdetail/1311135,"TN","HB1177","AN ACT to amend Tennessee Code Annotated, Title 39, Chapter 13, relative to observation without consent.","Sponsor(s) Added.","3/9/2021","2","Jerry Sexton (R)*, Bruce Griffey (R)","5","1","28",""
https://www.billtrack50.com/billdetail/1430583,"TN","HB1895","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to school sports.","Effective date(s) 04/22/2022, 07/01/2022","5/2/2022","7","John Ragan (R)*, Scott Cepicky (R), Mark Cochran (R), Rusty Grills (R), Chris Todd (R), Terri Weaver (R), Jason Zachary (R)","29","1","19",""
https://www.billtrack50.com/billdetail/1436551,"TN","HB1944","AN ACT to amend Tennessee Code Annotated, Title 39, Chapter 17, Part 9 and Title 49, relative to obscenity.","Received from House, Passed on First Consideration","3/30/2022","45","Scott Cepicky (R)*, Rebecca Alexander (R), David Byrd (R), Kent Calfee (R), Michele Carringer (R), Glen Casada (R), Mark Cochran (R), John Crawford (R), Tandy Darby (R), Clay Doggett (R), Rick Eldridge (R), Jeremy Faison (R), Andrew Farmer (R), Ron Gant (R), Johnny Garrett (R), Bruce Griffey (R), Rusty Grills (R), Mark Hall (R), Kirk Haston (R), David Hawk (R), Esther Helton (R), Dan Howell (R), Bud Hulsey (R), Chris Hurt (R), Kelly Keisling (R), Justin Lafferty (R), William Lamberth (R), Thomas Leatherwood (R), Mary Littleton (R), Susan Lynn (R), Debra Moody (R), Brandon Ogles (R), Dennis Powers (R), John Ragan (R), Jay Reedy (R), Tim Rudd (R), Iris Rudder (R), Jerry Sexton (R), Paul Sherrell (R), Robin Smith (R), Chris Todd (R), Todd Warner (R), Terri Weaver (R), Ryan Williams (R), Jason Zachary (R)","32","1","35",""
https://www.billtrack50.com/billdetail/1442261,"TN","HB2154","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to public school libraries.","Comp. became Pub. Ch. 744","4/4/2022","15","William Lamberth (R)*, Rebecca Alexander (R), Dale Carr (R), Scott Cepicky (R), Mark Cochran (R), Rick Eldridge (R), Ron Gant (R), Chris Hurt (R), Mary Littleton (R), Brandon Ogles (R), Dennis Powers (R), Jay Reedy (R), Paul Sherrell (R), Chris Todd (R), Jason Zachary (R)","19","1","22",""
https://www.billtrack50.com/billdetail/1443266,"TN","HB2313","AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 49; Title 50; Title 62; Title 63; Title 64 and Title 65, relative to discrimination.","Def. to Summer Study in Banking & Consumer Affairs Subcommittee","2/23/2022","1","Bruce Griffey (R)*","7","1","18",""
https://www.billtrack50.com/billdetail/1443497,"TN","HB2316","AN ACT to amend Tennessee Code Annotated, Title 49, relative to participation in athletics.","Comp. became Pub. Ch. 1005","5/9/2022","13","John Ragan (R)*, Rush Bricken (R), Mark Cochran (R), Ron Gant (R), Bruce Griffey (R), Dan Howell (R), Susan Lynn (R), Debra Moody (R), Dennis Powers (R), Paul Sherrell (R), Terri Weaver (R), Ryan Williams (R), Jason Zachary (R)","37","1","45",""
https://www.billtrack50.com/billdetail/1443794,"TN","HB2417","AN ACT to amend Tennessee Code Annotated, Title 4; Title 9 and Title 49, relative to higher education.","Taken off notice for cal in s/c Higher Education Subcommittee of Education Administration","2/22/2022","17","Robin Smith (R)*, Michele Carringer (R), Mark Cochran (R), Esther Helton (R), Justin Lafferty (R), Thomas Leatherwood (R), Mary Littleton (R), Susan Lynn (R), Debra Moody (R), Dennis Powers (R), John Ragan (R), Tim Rudd (R), Iris Rudder (R), Paul Sherrell (R), Chris Todd (R), Greg Vital (R), Mark White (R)","12","1","25",""
https://www.billtrack50.com/billdetail/1443825,"TN","HB2451","AN ACT to amend Tennessee Code Annotated, Section 14-4-103; Title 49 and Title 63, relative to parental rights.","Failed for lack of second in: Health Subcommittee","3/22/2022","17","Terri Weaver (R)*, Scott Cepicky (R), John Crawford (R), Bruce Griffey (R), Rusty Grills (R), Kirk Haston (R), Bud Hulsey (R), Chris Hurt (R), William Lamberth (R), Thomas Leatherwood (R), Susan Lynn (R), Debra Moody (R), John Ragan (R), Jay Reedy (R), Iris Rudder (R), Jerry Sexton (R), Todd Warner (R)","15","1","27",""
